model,system,issue_id,title,package,predicted_priority,true_priority,confidence,reason
qwen2.5:14b,A,12547,[Bug]: __stack_chk_guard definition is wrong,other,high,high,0.85,"The bug impacts multiple build targets and involves incorrect definition of a critical variable, similar to other high priority firmware issues."
qwen2.5:14b,A,12517,[Bug]: Base.h IA32 GCC _AlignOf,mdepkg,medium,low,0.8,The bug involves a static assert in Base.h which is likely to cause build failures but does not describe severe runtime behavior.
qwen2.5:14b,A,12498,"[Bug]: For the ManageabilityPkg, move the internal use C header file to under PrivateInclude.",other,medium,medium,0.8,The bug involves moving internal header files which is a structural change but not critical.
qwen2.5:14b,A,12463,"[Bug]: ProcessCommunicationBuffer() in MmCommunicationDxe is not reentrant-safe, leading to ReturnBufferSize corruption and page fault.",standalonemmpkg,high,medium,0.85,"The bug involves reentrancy issues leading to corruption and page faults, similar in severity to other high-priority firmware bugs."
qwen2.5:14b,A,12437,[Bug]: Noise in build process if toolchain is GCC or CLANGDWARF,basetools,medium,low,0.8,Similar to other build process issues impacting specific toolchains but not as critical as those affecting multiple targets or causing crashes.
qwen2.5:14b,A,12419,[Bug]: Build fails without a reason,mdemodulepkg,high,low,0.8,Build failure without reason is a critical issue that can block development progress.
qwen2.5:14b,A,12399,[Bug]: NvmeDxe:: Incomplete cleanup on failure case resulting in memory leak and protocol tracking,mdemodulepkg,high,low,0.85,The bug involves a memory leak and protocol tracking issues which are critical in firmware.
qwen2.5:14b,A,12397,[Bug]: NvmeDxe:: NvmExpressMediaClear: Incorrect buffersize for write command,mdemodulepkg,high,high,0.85,"The bug involves incorrect buffer size for a write command in firmware, which can lead to data corruption or system instability."
qwen2.5:14b,A,12396,[Bug]: NvmeDxe::NvmExpressMediaClear: off-by-one skips last LBA,mdemodulepkg,high,medium,0.9,The bug involves a critical off-by-one error in firmware that impacts multiple targets and could lead to data loss or corruption.
qwen2.5:14b,A,12394,[Bug]: Remove [DEPEX] section from RedfishConfigHandler driver,redfishpkg,low,medium,0.8,The issue is about removing a section in firmware and does not indicate any critical failure or performance impact.
qwen2.5:14b,A,12390,[Bug]:PXE crash in NetworkPkg when link disconnects during NBP download (NULL/invalid Private access),networkpkg,high,medium,0.85,"The bug involves a crash in firmware during critical operation (NBP download), similar to other high-priority issues in NetworkPkg."
qwen2.5:14b,A,12363,[Bug]: OVMF crashes when exiting from aarch64 GRUB,armvirtpkg,high,low,0.85,"The bug causes a crash in OVMF firmware when exiting from GRUB, which is a critical failure indicating high severity."
qwen2.5:14b,A,12359,[Bug]: <title>/PageTbl.c(340): PageDirectoryEntry != ((void *) 0),ueficpupkg,medium,low,0.8,The bug involves a specific condition in firmware code without clear impact severity beyond compilation or runtime warning.
qwen2.5:14b,A,12348,[Bug]: BaseTools build fails due to racy cpp file generation,basetools,high,high,0.85,The bug involves a build failure in BaseTools which is critical for development and matches similar high priority issues in the same package.
qwen2.5:14b,A,12333,[Bug]: Remove -I from OvmfPkg reset vectors,ovmfpkg,high,low,0.85,Similar to other firmware issues in OvmfPkg with high priority.
qwen2.5:14b,A,12320,[Bug]: Issue triage workflow does not auto-assign for feature and documentation requests due to inconsistent field IDs,build-or-ci-code,medium,low,0.8,The issue is related to a tool (Issue Triage Workflow) and does not specify critical impact on firmware or unit tests.
qwen2.5:14b,A,12293,[Bug]: GenFw Missing option on VS2026,basetools,high,medium,0.85,The issue involves a critical missing option in a tool (GenFw) which impacts build processes and is similar to other high priority issues related to BaseTools package.
qwen2.5:14b,A,12281,[Bug]: TerminalDxe ignores shift state when calling notification functions,mdemodulepkg,medium,medium,0.85,Similar to other firmware issues in MdeModulePkg with medium priority.
qwen2.5:14b,A,12276,[Bug]:  [Depex]  sections exist in the INF files of UEFI_DRIVER or UEFI_APPLICATION,shellpkg,medium,low,0.8,"The bug affects multiple packages and involves both firmware and tool issues, but lacks specific severity indicators like build failures or high impact on critical functionalities."
qwen2.5:14b,A,12275,[Bug]:  EFIDebug runtime log level change fails to take effect,mdemodulepkg,medium,medium,0.8,The bug impacts firmware runtime behavior but lacks severity indicators like memory corruption or high security risks.
qwen2.5:14b,A,12245,"[Bug]: PE/COFF image hashes (SHA‑384/SHA‑512)  can’t be queried in the DB, but work in the DBX",securitypkg,high,low,0.85,The bug impacts firmware functionality and involves security-related packages.
qwen2.5:14b,A,12206,[Bug]: OVMF crashes early with RISCVVIRT_PEI_BOOTING,ovmfpkg,high,medium,0.85,"The bug causes a crash in firmware during early boot for a specific target, similar to other high-priority firmware issues."
qwen2.5:14b,A,12183,[Bug]: Broken source-level debugging of OVMF caused by improper SEC-phase PCD access (BasePcdLibNull referenced),ovmfpkg,high,low,0.85,"The bug impacts source-level debugging and involves improper PCD access in SEC phase, similar to other high-priority firmware issues."
qwen2.5:14b,A,12179,[Bug]: FMMT config file argument does not work,basetools,low,low,0.8,Similar to other tool-related issues in BaseTools with no reported severe impact.
qwen2.5:14b,A,12178,[Bug]: FMMT always exits with status 0 (success),basetools,medium,low,0.8,"The bug involves a tool (BaseTools) and impacts functionality when an FMMT operation throws an exception, but lacks specific details on severity or widespread impact."
qwen2.5:14b,A,12176,[Bug]: Cannot run posix wrappers without setup,basetools,medium,low,0.8,The bug is related to a tool (BaseTools) and impacts functionality but does not indicate critical security or performance issues.
qwen2.5:14b,A,12172,[Bug]: Error Dumping ESRT Table using CapsuleApp.efi -E,mdemodulepkg,medium,medium,0.8,Similar to other tool/unit test issues in MdeModulePkg with medium priority.
qwen2.5:14b,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,medium,low,0.8,The bug affects keyboard functionality in a specific QEMU configuration but does not indicate severe system instability or data loss.
qwen2.5:14b,A,12136,[Bug]: Incremental build issue of Structure PCD,basetools,medium,low,0.8,Similar to other incremental build issues but not as severe as high-priority ones.
qwen2.5:14b,A,12120,[Bug]: Ramfb default resolutions available are very low,ovmfpkg,medium,low,0.8,Similar to other firmware issues in OvmfPkg with medium priority.
qwen2.5:14b,A,12095,[Bug]: The PXE boot option is missing on RISCV64,ovmfpkg,medium,medium,0.8,Similar to other firmware issues in OvmfPkg with medium priority.
qwen2.5:14b,A,12081,[Bug]: SCT Failure in SerialIo on Arm platforms with PL011UartLib,armplatformpkg,high,low,0.85,The bug involves firmware failure on critical platforms and impacts multiple targets.
qwen2.5:14b,A,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,low,low,0.8,The bug is related to a tool configuration and does not impact firmware or unit tests directly.
qwen2.5:14b,A,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,high,medium,0.85,The bug impacts firmware and lacks a retry mechanism for transient USB failures which can cause data corruption or loss.
qwen2.5:14b,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),mdemodulepkg,medium,medium,0.8,Similar to other firmware issues in MdeModulePkg with medium priority.
qwen2.5:14b,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,medium,low,0.8,The bug is in firmware and impacts specific build targets but lacks details on severity or widespread impact.
qwen2.5:14b,A,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,medium,low,0.8,Similar to other tool build issues in ShellPkg with no indication of system failure or severe impact.
qwen2.5:14b,A,11991,[Bug]: Failed to start Intel Trust Domain on the new OVMF version,ovmfpkg,high,medium,0.85,"The bug involves a critical failure to start an important security feature (Intel Trust Domain) on a new firmware version, likely impacting system integrity and security."
qwen2.5:14b,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,high,medium,0.8,Similar to other firmware issues impacting specific targets and causing critical failures.
qwen2.5:14b,A,11962,[Bug]: LPA2 support regresses emulated boot w/ -cpu max,armvirtpkg,high,medium,0.85,"The regression impacts boot functionality on a specific target after an update, similar to other high-priority firmware issues."
qwen2.5:14b,A,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,medium,low,0.8,"The bug involves a mismatch in firmware value definitions, similar to other medium priority issues in MdePkg."
qwen2.5:14b,A,11934,[Bug]: UefiPayload 202511 bootloops on ThinkPad X230 (coreboot),uefipayloadpkg,high,low,0.85,"The bug causes a bootloop on a specific target after an update, similar to other high-priority firmware issues."
qwen2.5:14b,A,11900,[Bug]: Usage of PcdPostCodePropertyMask is not clear,mdepkg,medium,low,0.8,"The bug is related to firmware and unclear usage of a Pcd, similar to other medium priority firmware issues."
qwen2.5:14b,A,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,high,low,0.85,"The error indicates a critical missing header file during compilation, which blocks build process."
qwen2.5:14b,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,high,medium,0.85,Build failure in a specific package with undefined symbol error.
qwen2.5:14b,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,high,medium,0.9,Build failure issues typically impact all users and can halt development progress.
qwen2.5:14b,A,11878,[Bug]: CLANGDWARF cannot build RELEASE AARCH64 StandaloneMmPkg,standalonemmpkg,high,medium,0.85,"The bug prevents building for a specific target and architecture, similar to other high priority build failure issues."
qwen2.5:14b,A,11846,[Bug]: <title> The character caused build error.,uefipayloadpkg,high,low,0.8,Build errors typically impact all development and are critical issues.
qwen2.5:14b,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,high,high,0.85,The bug impacts multiple build targets and requires updating a nuget package to resolve linker issues.
qwen2.5:14b,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,mdemodulepkg,medium,high,0.8,"The bug affects firmware menus and impacts multiple build targets, but does not indicate a critical system failure or security vulnerability."
qwen2.5:14b,A,11800,[Bug]: non-x86 Option Rom never be reached if multiple Option Rom images are found on non-x86 platform.,mdemodulepkg,high,medium,0.85,The bug impacts multiple targets and involves firmware issues similar to other high priority bugs in mdemodulepkg.
qwen2.5:14b,A,11797,[Bug]: Build error when STATIC Stack check is enabled on X86 Architectures on GCC Build,mdepkg,medium,medium,0.8,Similar to other build error issues in MdePkg that are typically medium priority.
qwen2.5:14b,A,11793,[Bug]: BdsDxe build fails with CLANGPDB,mdemodulepkg,high,high,0.85,Build failure with specific compiler version indicates high severity as it blocks development and testing.
qwen2.5:14b,A,11792,[Bug]: UefiPayloadPkg cannot be built with VS2022,uefipayloadpkg,high,medium,0.85,Build failure with a recent version of Visual Studio indicates potential compatibility issues that could impact development and testing workflows.
qwen2.5:14b,A,11791,[Bug]: SignedCapsulePkg cannot be built with VS2022,signedcapsulepkg,high,medium,0.85,Similar to other high priority issues impacting specific toolchains and build targets.
qwen2.5:14b,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,high,medium,0.85,Build failure with a recent version of Visual Studio indicates potential compatibility issues that could affect development and testing workflows.
qwen2.5:14b,A,11787,[Bug]: HiiDatabaseDxe build fails with CLANGPDB,mdemodulepkg,high,high,0.85,Build failure issues typically have high priority due to their impact on development and testing processes.
qwen2.5:14b,A,11786,[Bug]: SetupBrowserDxe build fails with CLANGPDB,mdemodulepkg,medium,high,0.8,Build failure issues are typically medium priority unless they affect multiple targets or are critical for debugging.
qwen2.5:14b,A,11772,[Bug]: FdfParser parse include statement before conditional statement,basetools,medium,low,0.8,The bug involves a parsing issue in BaseTools which impacts multiple build targets but does not indicate critical system failure or security vulnerability.
qwen2.5:14b,A,11765,[Bug]: ConSplitterDxe Default Output Mode (MaxMode) Causes Shell Console Display Corruption,mdemodulepkg,medium,low,0.8,The bug impacts firmware and affects multiple build targets but does not indicate a system hang or severe data corruption.
qwen2.5:14b,A,11764,[Bug]: SmiHandlerUnRegister  is pended forever when an unregistered SMI get called,mdemodulepkg,high,high,0.85,"The bug involves a critical system function (SMI handling) pended forever, impacting firmware stability and functionality."
qwen2.5:14b,A,11755,[Bug]: Firmware update failing on headless systems,mdemodulepkg,high,medium,0.85,Firmware update failure on headless systems is a critical issue affecting firmware functionality.
qwen2.5:14b,A,11754,[Bug]: 32-bit Windows 10 fails to boot on VMs with 32-bit edk2-ovmf firmware,ovmfpkg,high,high,0.85,"The bug affects booting of a major OS version on VMs, impacting broad compatibility and user experience."
qwen2.5:14b,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,high,high,0.85,The bug impacts firmware and crashes a critical module during runtime.
qwen2.5:14b,A,11744,[Bug]: toolsetup.bat is trying to use delayed expansion incorrectly.,basetools,low,low,0.8,The bug is related to a build script and does not impact firmware or unit tests directly.
qwen2.5:14b,A,11739,[Bug]: VariablePei allocates runtime memory fragmenting memory buckets,mdemodulepkg,high,medium,0.85,The bug impacts memory allocation in firmware and could lead to fragmentation issues.
qwen2.5:14b,A,11737,[Bug]: EmbeddedPkg cannot be built with VS2022,embeddedpkg,high,medium,0.9,Similar to other build failure issues with high priority.
qwen2.5:14b,A,11715,[Bug]: RISC-V OVMF firmware built with CLANGDWARF fails to load in QEMU,ovmfpkg,high,medium,0.9,Similar to other high priority firmware build issues impacting specific targets and causing failure in QEMU.
qwen2.5:14b,A,11702,[Bug]: Warning information displayed during Basetools building proccess,basetools,low,low,0.8,The issue is related to warning information during build process rather than a critical failure or security vulnerability.
qwen2.5:14b,A,11673,[Bug]: EFI Shell map command modifies the multi instance device path of block device handle,shellpkg,high,low,0.85,The bug affects a critical tool (EFI Shell) and impacts multiple build targets.
qwen2.5:14b,A,11670,[Bug]: UnitTestUefiBootServicesTableLib prints warnings when used outside Framework,unittestframeworkpkg,medium,low,0.8,"The bug is related to unit testing and prints warnings, which is less severe than a system crash or memory protection inconsistency."
qwen2.5:14b,A,11630,[Bug]: genffs crashed,emulatorpkg,medium,low,0.8,"The bug is related to a tool (genffs) crashing during compilation, similar to other medium priority tool issues."
qwen2.5:14b,A,11605,[Bug]: Need to upgrade MbedTLS to latest 3.6.4 for the latest CVE fix.,cryptopkg,medium,low,0.8,"The issue involves upgrading a security library to fix CVEs, which is important but not immediately critical without specific target impacts."
qwen2.5:14b,A,11578,[Bug]: Pre-OS graphics fail to load when deleting GPIO driver using FMMT tool,basetools,high,medium,0.85,The bug involves a critical failure in tool functionality during pre-OS operations.
qwen2.5:14b,A,11554,[Bug]: <title> Pci command -i can't display PCIe Designated Vendor Specific Extended Capability correctly.,shellpkg,high,medium,0.85,Similar to other high priority issues in ShellPkg related to tool functionality and display problems.
qwen2.5:14b,A,11538,[Bug]: LoadImage causes a store access fault on RISCV64,ovmfpkg,high,high,0.85,The bug causes a store access fault which is likely to be critical in firmware execution.
qwen2.5:14b,A,11528,[Bug]: Use flexible array members consistently,shellpkg,high,low,0.85,Impacts multiple packages and is related to firmware consistency.
qwen2.5:14b,A,11524,[Bug]: Duplicate field print in dmem,shellpkg,medium,low,0.8,The bug involves a duplicate field print in dmem which is likely to cause minor inconvenience but not critical system failure.
qwen2.5:14b,A,11509,[Bug]: TCG2/TPM2 support on aarch64 does not work,ovmfpkg,high,medium,0.85,"The bug impacts firmware and causes a system to get stuck during boot, similar to other high-priority issues in OvmfPkg."
qwen2.5:14b,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,high,low,0.85,"The bug involves a critical tool (ECC Check) silently failing in CI for both Windows and Linux, impacting multiple targets."
qwen2.5:14b,A,11480,[Bug]: boot stuck in aarch64 uefi,armplatformpkg,high,medium,0.85,"The bug causes a system to be stuck during boot, which is critical and impacts multiple packages."
qwen2.5:14b,A,11479,[Bug]: BaseLib  Function SetJump()  Build with AARCH64 VS2022 Hangs   in file SetJumpLongJump.asm but Works with CLANG compile using file SetJumpLongJump.S,mdepkg,high,high,0.85,The bug involves a critical hang during build process for specific configurations and impacts multiple packages.
qwen2.5:14b,A,11462,[Bug]: LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX value does not match the UEFI specification,mdepkg,low,low,0.8,The bug does not indicate a critical system failure or performance degradation.
qwen2.5:14b,A,11460,[Bug]: OVMF secure boot settings unusable with serial console,ovmfpkg,medium,low,0.8,Similar to other firmware issues in OvmfPkg that are typically medium priority.
qwen2.5:14b,A,11453,[Bug]: AsciiSPrint does not handle %s correctly,ovmfpkg,low,low,0.8,Similar to other firmware issues in OvmfPkg but does not indicate critical security or performance impact.
qwen2.5:14b,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,medium,medium,0.8,Similar to other ShellPkg tool issues with no indication of critical runtime failure or security impact.
qwen2.5:14b,A,11445,[Bug]: Potential Infinite Loop in DumpCapsuleStatusVariable() due to Unbounded Error Handling of EFI_ERROR,mdemodulepkg,high,medium,0.9,The bug involves a potential infinite loop in critical functionality.
qwen2.5:14b,A,11428,[Bug]: Terminal layout issue in Boot Manager when running qemu-system-x86_64 with -nographic,ovmfpkg,medium,medium,0.8,Similar to other firmware issues impacting specific configurations but without clear severity indicators.
qwen2.5:14b,A,11424,[Bug]: Find en-US string if x-uefi-redfish language is not found,redfishpkg,medium,medium,0.8,Similar to other firmware issues in RedfishPkg with medium priority.
qwen2.5:14b,A,11421,[Bug]: Redfish RedfishPlatformConfigProtocolGetValue function should consider REDFISH_PLATFORM_CONFIG_ALLOW_SUPPRESSED option,redfishpkg,medium,medium,0.8,The bug is related to firmware and impacts a specific package without clear severity indicators like buffer overflows or crashes.
qwen2.5:14b,A,11417,[Bug]: Redfish interface remains open when it is no longer needed,redfishpkg,medium,low,0.85,Similar to other firmware issues in RedfishPkg with medium priority.
qwen2.5:14b,A,11408,[Bug]: Shell pci command no longer prints BAR information,shellpkg,medium,medium,0.85,Similar to other tool-related issues in ShellPkg with medium priority.
qwen2.5:14b,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,high,medium,0.85,The bug could lead to system instability or data corruption if AP reset vector buffer is freed prematurely.
qwen2.5:14b,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,high,high,0.8,Build errors with specific compilers often indicate critical issues that block development or testing.
qwen2.5:14b,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg,high,medium,0.85,Runtime drivers loaded after EndOfDxe are critical for system functionality and their non-executability can lead to significant OS issues.
qwen2.5:14b,A,11364,[Bug]: Incorrect behavior when switching language in Front Page and Driver Health Manager,mdemodulepkg,medium,medium,0.8,The bug impacts firmware but does not specify critical system failure or severe security issues.
qwen2.5:14b,A,11363,[Bug]: Hit LNK1237 when using IntrinsicLib.inf,mdepkg,medium,medium,0.8,Similar to other firmware issues in MdePkg with moderate impact.
qwen2.5:14b,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,high,medium,0.85,The bug involves critical firmware functionality not working as expected on a specific architecture.
qwen2.5:14b,A,11338,"[Bug]: System assertion failure occurs upon restart after OS installation using WHPX, or when the 'Reset' option is triggered from the QEMU application",ovmfpkg,high,medium,0.85,"The bug involves system assertion failure upon restart or reset, similar to other high-priority issues affecting firmware stability and reliability."
qwen2.5:14b,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,medium,medium,0.85,Similar to other firmware issues in securitypkg with medium priority.
qwen2.5:14b,A,11323,[Bug]: Xen libvirt HVM crash when using more than 64 vcpus,ovmfpkg,high,medium,0.85,The bug causes a crash in a critical scenario and impacts a specific target configuration.
qwen2.5:14b,A,11299,[Bug]: Wide character display is truncated on BIOS Setup.,mdemodulepkg,medium,low,0.8,Similar to other firmware issues in MdeModulePkg with medium priority.
qwen2.5:14b,A,11292,"[Bug]: UEFI-SCT BBTestGetImageConformanceTestCheckpoint4 expects the GetImage() function to return an EFI_SECURITY_VIOLATION error, which deviates from the expected behavior defined in the UEFI specification.",other,medium,medium,0.8,"The bug is related to unit testing and deviates from expected behavior in the specification, but does not indicate severe security or performance issues."
qwen2.5:14b,A,11269,"[Bug]: System assert, When UEFI-Freed Memory Guard is enabled",mdemodulepkg,high,medium,0.9,The bug involves a system assert which typically indicates a critical failure.
qwen2.5:14b,A,11258,[Bug] Secure Boot Bypass Through UEFI Shell,securitypkg,high,medium,0.9,"This bug involves a security vulnerability that allows bypassing Secure Boot through UEFI Shell, similar to other high-priority security issues."
qwen2.5:14b,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,medium,low,0.8,Similar to other firmware issues in MdeModulePkg with moderate severity.
qwen2.5:14b,A,11234,[Bug]: VS2022-built Host test executable can't find clang_rt.asan_dynamic-x86_64.dll,unittestframeworkpkg,medium,low,0.8,Similar to other unit test issues impacting specific targets but not broadly affecting all.
qwen2.5:14b,A,11224,[Bug]: An assertion occurred: ASSERT [DxeCore] edk2/MdeModulePkg/Core/Dxe/Mem/Pool.c(730): Tail->Signature == ((('p') | ('t' << 8)) | ((('a') | ('l' << 8)) << 16)),mdemodulepkg,high,high,0.9,The bug involves a critical assertion failure in core firmware code during release builds.
qwen2.5:14b,A,11218,[Bug]: ovmf writes terminal escapes to all virtio-console ports,ovmfpkg,high,low,0.85,"The bug impacts multiple virtio-console devices in a significant way, similar to other high-priority issues affecting OvmfPkg."
qwen2.5:14b,A,11216,[Bug]: [ArmVirtPkg] Missing EFI Internal Shell in Boot Menu,armvirtpkg,medium,low,0.8,Similar to other firmware issues impacting specific targets but not critical system functions.
qwen2.5:14b,A,11194,[Bug]: FMMT increasing the Binary size after replacing FFS,basetools,high,high,0.85,"The bug affects firmware and there is no specified target impact, suggesting potential broad implications."
qwen2.5:14b,A,11193,[Bug]: HashLibTpm2 hash algorithm selection logic flawed,securitypkg,medium,low,0.8,The bug impacts firmware and multiple build targets but lacks details on severity or widespread impact.
qwen2.5:14b,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,high,low,0.85,CodeQl errors often indicate serious security or correctness issues in firmware code.
qwen2.5:14b,A,11188,[Bug]: MSR_IA32_FEATURE_CONTROL on CPU hotplug,ovmfpkg,medium,medium,0.8,The bug involves CPU hotplug functionality which is critical but not immediately security-critical like cryptographic issues.
qwen2.5:14b,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,low,low,0.8,"The bug involves replacing a hardcoded value with an existing define constant, which is likely to be a minor change without significant impact."
qwen2.5:14b,A,11128,[Bug]: Incorrect array length for pcd values in auto-generated code,basetools,medium,low,0.85,Similar to other BaseTools issues that impact build or code generation but do not indicate critical failure or security risk.
qwen2.5:14b,A,11119,[Bug]: Looking for non-existent OpenSSL `ssl_err.c` which is now `ssl_err_legacy.c`,armvirtpkg,high,medium,0.85,"The bug involves a critical build failure due to missing file, similar to other high priority build issues."
qwen2.5:14b,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,high,high,0.85,Variable store corruption and failure to recover indicates a critical reliability issue.
qwen2.5:14b,A,11114,[Bug]: UninstallMultipleProtocolInterfaces() can fail to reinstall protocols on failure,mdemodulepkg,high,low,0.9,"The bug involves a critical firmware function that can fail to reinstall protocols on failure, impacting system stability and functionality."
qwen2.5:14b,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,medium,low,0.8,Similar to other firmware issues in mdemodulepkg without explicit severity indicators.
qwen2.5:14b,A,11112,[Bug]: RegisterProtocolNotify() accepts invalid events,mdemodulepkg,medium,low,0.8,Similar to other firmware issues in MdeModulePkg with medium priority.
qwen2.5:14b,A,11110,[Bug]: InstallProtocolInterface() creates spurious open protocol data,mdemodulepkg,medium,low,0.8,Similar to other firmware bugs in MdeModulePkg with medium priority.
qwen2.5:14b,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,low,low,0.8,The issue is about adding an entry to Ask Deepwiki and does not impact any specific package or target.
