number,url,labels,original_title,optimized_title,title_quality_score,title_quality_reason,description_confidence,description_confidence_reason,reflective_confidence,reflective_confidence_reason,original_issues,context_used,ai_error
12390,https://github.com/tianocore/edk2/issues/12390,priority:medium | package:networkpkg | type:bug | state:needs-maintainer-feedback,[Bug]:PXE crash in NetworkPkg when link disconnects during NBP download (NULL/invalid Private access),NetworkPkg/UefiPxeBcDxe: crash (use-after-free) on link disconnect during NBP download,92,"Names the package and module, states the concrete symptom (crash/use-after-free), and includes the trigger condition (link disconnect during NBP download), within length limits.",82,"Description provided the module name, crash symptom with poisoned PC value (0xAFAFAFAFAFAFAFAF indicating use-after-free), and clear trigger condition, though no stack trace was included.",85,The optimized title is more concise and structured than the original while retaining all key details; it follows edk2 conventions better and is easier to triage.,Title is too long (exceeds 100 characters) | Uses informal '[Bug]:' prefix not following edk2 conventions | Parenthetical explanation at end is verbose and redundant | Does not follow 'Package/Module: symptom condition' format,Module identified as UefiPxeBcDxe from the description context | Crash symptom confirmed by poisoned PC value 0xAFAFAFAFAFAFAFAF indicating use-after-free | Trigger condition: network cable disconnected during active NBP download | NetworkPkg identified as the impacted package,
12359,https://github.com/tianocore/edk2/issues/12359,priority:low | package:ueficpupkg | type:bug,[Bug]: <title>/PageTbl.c(340): PageDirectoryEntry != ((void *) 0),UefiCpuPkg/PiSmmCpuDxeSmm: ASSERT in PageTbl.c when 1GB pages not supported,88,"Names the package and module, states the concrete symptom (ASSERT), and includes the trigger condition (no 1GB page support), within length limits and following the required format.",85,"Description provided the exact file/line of the ASSERT, the root cause (missing pdpe1gb/1GB page support on qemu64 CPU model), and the affected package clearly.",92,"The optimized title is clearly better than the original — it names the module, explains the symptom meaningfully, and states the trigger condition instead of just quoting a raw ASSERT string.",Title is just a raw ASSERT message with no context | Does not name the package or module explicitly | Does not explain the trigger condition (missing 1GB page support) | Angle bracket placeholder '<title>' suggests it was auto-generated or incomplete,"ASSERT location: UefiCpuPkg/PiSmmCpuDxeSmm/X64/PageTbl.c(340) | Root cause: 1GPageTable Support = 0, qemu64 CPU model lacks pdpe1gb | Affected package: UefiCpuPkg | Symptom: page directory allocation failure leading to ASSERT",
12348,https://github.com/tianocore/edk2/issues/12348,package:basetools | priority:high | type:bug | state:needs-maintainer-feedback | state:needs-owner,[Bug]: BaseTools build fails due to racy cpp file generation,BaseTools/VfrCompile: intermittent build error due to parallel make ANTLR race,92,"Names the package and module, states the concrete symptom (build error), identifies the trigger (parallel make ANTLR race), and follows the required format within length limits.",85,"Description clearly identified the module (VfrCompile), the root cause (GNU make parallel race on ANTLR multi-target rule), and the symptom (intermittent build failure with undeclared variable error).",88,"The optimized title is more specific and actionable than the original by naming the exact module (VfrCompile) and the precise mechanism (parallel make ANTLR race), making it easier to triage.",Missing specific module name (VfrCompile) | Vague term 'racy' instead of 'parallel make race' | Does not mention ANTLR as the specific tool involved | Uses informal bracketed '[Bug]:' prefix not following edk2 title conventions,VfrCompile identified as the specific BaseTools module from GNUmakefile reference | ANTLR multi-target rule race condition identified as root cause | Intermittent/parallel make nature of the failure from description | EfiVfrParser.cpp compilation error as the concrete symptom,
12333,https://github.com/tianocore/edk2/issues/12333,package:ovmfpkg | priority:low | type:bug,[Bug]: Remove -I from OvmfPkg reset vectors,OvmfPkg/ResetVector: invalid cross-package -I include path to UefiCpuPkg,82,"Names the package and module, states the concrete symptom (invalid cross-package include path), and identifies the condition (dependency on UefiCpuPkg files), within length limits.",72,"Description clearly identified the affected modules, the cross-package include issue, and linked to specific code locations, but lacked a concrete build error or failure output.",80,"The optimized title is more specific and actionable than the original, naming the module and the concrete technical problem rather than just describing the fix action.",Phrased as a fix action ('Remove -I') rather than describing the bug symptom | Does not specify which module within OvmfPkg is affected | Does not describe the concrete problem (invalid cross-package include dependency),"Three ResetVector.inf files in OvmfPkg use -I to include files from UefiCpuPkg | This is a cross-package include path dependency issue | Specific modules: OvmfPkg/ResetVector, OvmfPkg/Bhyve/ResetVector, OvmfPkg/XenResetVector",
12320,https://github.com/tianocore/edk2/issues/12320,priority:low | type:bug | package:build-or-ci-code | state:needs-maintainer-feedback | state:needs-triage,[Bug]: Issue triage workflow does not auto-assign for feature and documentation requests due to inconsistent field IDs,CI/issue-triage.yml: auto-assign skipped for feature/doc requests due to mismatched field ID,72,"Names the module (issue-triage.yml) and CI context, states the concrete symptom (auto-assign skipped) and trigger condition (mismatched field ID), but slightly exceeds ideal brevity and lacks a strict Package/ prefix.",85,"Description clearly identified the workflow file, the mismatched field IDs (fix_owner vs request_owner), and the exact templates affected, providing enough detail to craft a specific title.",75,"The optimized title is more concise and technically specific than the original, naming the exact file and root cause, though the original title was already fairly descriptive.",Title is too long (exceeds 100 characters) | Does not follow Package/Module: symptom format | Uses vague phrasing 'does not auto-assign' instead of a crisp symptom | Buries the root cause (inconsistent field IDs) at the end,Workflow file identified as issue-triage.yml | Root cause: field ID mismatch between fix_owner (bug template) and request_owner (feature/doc templates) | Symptom: auto-assignment silently skipped for feature and documentation request issues | Package classified as Build or CI Code,
12276,https://github.com/tianocore/edk2/issues/12276,package:shellpkg | package:basetools | package:mdemodulepkg | priority:low | type:bug | package:redfishpkg | state:needs-maintainer-feedback,[Bug]:  [Depex]  sections exist in the INF files of UEFI_DRIVER or UEFI_APPLICATION,BaseTools: No error when UEFI_DRIVER/APPLICATION has [Depex] section,85,"Names the tool (BaseTools), states the concrete symptom (no error/validation failure), and includes the trigger condition (UEFI_DRIVER/APPLICATION with [Depex]); slightly over 50 chars and within 100.",82,"Description clearly identified the root issue (missing validation in BaseTools), affected packages, and specific INF files with invalid [Depex] sections.",88,"The optimized title is clearly better — it identifies BaseTools as the responsible tool, states the missing validation as the concrete symptom, and removes the vague bracketed formatting of the original.",Uses vague bracketed formatting '[Bug]: [Depex]' instead of standard edk2 title format | Does not identify which package/tool is responsible for the missing validation | Does not clearly state the symptom (no build error/warning emitted by BaseTools) | Too long and awkwardly phrased,BaseTools does not generate any error messages during building of modules with invalid [Depex] sections | Multiple UEFI_DRIVER and UEFI_APPLICATION INF files incorrectly contain [Depex] sections | INF specification explicitly prohibits [Depex] in UEFI_DRIVER/UEFI_APPLICATION module types,
12245,https://github.com/tianocore/edk2/issues/12245,package:securitypkg | priority:low | type:bug | state:needs-maintainer-feedback | state:needs-triage,"[Bug]: PE/COFF image hashes (SHA‑384/SHA‑512)  can’t be queried in the DB, but work in the DBX",SecurityPkg/SecureBootConfigDxe: SHA-384/SHA-512 PE/COFF hashes not deletable from DB,88,"Names the package and module, states the concrete symptom (not deletable), specifies the trigger (SHA-384/SHA-512 hashes in DB), and follows the required format within length limits.",82,"Description clearly identified the affected module (SecureBootConfigDxe), the root cause (UpdateDeletePage missing SHA-384/SHA-512 GUID comparisons), and the specific symptom (hashes can't be deleted from DB).",85,"The optimized title is more specific and actionable than the original, naming the exact module and using precise technical language, though the original title's contrast with DBX behavior is lost.",Title uses informal '[Bug]:' prefix not following edk2 conventions | Does not name the specific module (SecureBootConfigDxe) | Verbose and over 100 characters | Phrase 'can't be queried' is vague — the actual symptom is inability to delete entries | Includes DBX comparison detail that is secondary to the core bug,Affected module identified as SecureBootConfigDxe in SecurityPkg | Root cause is UpdateDeletePage function missing SHA-384/SHA-512 GUID comparisons | Symptom is that SHA-384/SHA-512 PE/COFF image hashes cannot be deleted from DB | SHA-384 and SHA-512 are the specific hash algorithms affected,
12206,https://github.com/tianocore/edk2/issues/12206,priority:medium | package:ovmfpkg | type:bug | package:other,[Bug]: OVMF crashes early with RISCVVIRT_PEI_BOOTING,OvmfPkg/RiscVVirt: ASSERT in Hob.c with RISCVVIRT_PEI_BOOTING on QEMU,85,"Names the package/module, states the concrete symptom (ASSERT in Hob.c), and includes the trigger condition (RISCVVIRT_PEI_BOOTING on QEMU), within length limits.",88,"Description provided exact ASSERT message with file/line, build flags, and repro steps, making the symptom and trigger very clear.",82,"The optimized title is more specific and actionable than the original, naming the exact failure point (ASSERT in Hob.c) rather than the vague 'crashes early'.",Says 'crashes early' which is vague and doesn't name the concrete symptom | Does not specify the package/module path (OvmfPkg/RiscVVirt) | Does not mention the ASSERT or the specific file (Hob.c),ASSERT message: 'ASSERT [SecCoreNative] Hob.c(229): HobStart != ((void *) 0)' | Build flag: -D RISCVVIRT_PEI_BOOTING | Platform: OvmfPkg/RiscVVirt/RiscVVirtQemu.dsc | Target architecture: RISCV64 on QEMU,
12179,https://github.com/tianocore/edk2/issues/12179,package:basetools | priority:low | type:bug,[Bug]: FMMT config file argument does not work,"BaseTools/FMMT: -c config file argument ignored, default config used instead",88,"Names the package and tool, states the concrete symptom (argument ignored, default used), includes the trigger condition (-c flag), and fits within length; slightly below perfect as no deeper module path is available.",82,"Description clearly identified the tool (FMMT), the specific flag (-c), the symptom (default config used instead of provided one), and repro steps, giving enough detail to craft a precise title.",90,"The optimized title is clearly better than the original — it names the specific tool, replaces vague 'does not work' with a concrete symptom, and adds the triggering condition (-c flag).",Vague symptom: 'does not work' provides no actionable detail | No package specified (BaseTools missing) | No specific trigger condition mentioned beyond 'config file argument' | Bracketed '[Bug]:' prefix is unnecessary noise,Tool identified as FMMT from description and title | Package identified as BaseTools from labels and description | Specific flag -c identified as the trigger from repro steps | Symptom clarified as 'default config used instead' from current behavior section,
12178,https://github.com/tianocore/edk2/issues/12178,package:basetools | priority:low | type:bug,[Bug]: FMMT always exits with status 0 (success),BaseTools/FMMT: always exits with status 0 on exception,88,"Names the package and module, states the concrete symptom (wrong exit status 0), and includes the trigger condition (on exception), within length limits.",82,"Description clearly identified the tool (FMMT), the symptom (exit status 0 on failure), and provided a concrete repro step, though no stack trace was included.",85,"The optimized title is clearly better as it adds the module name (FMMT) and follows the package/module format, while the original was already reasonably descriptive.",Wrapped in quotes and prefixed with '[Bug]:' which is redundant formatting | Missing the package/module prefix format (BaseTools/FMMT) | Slightly verbose but otherwise acceptable,Tool identified as FMMT from description and title | Package identified as BaseTools from labels and description | Symptom: exit status 0 (success) when exception occurs | Trigger: when an operation throws an exception,
