number,url,labels,original_title,optimized_title,title_quality_score,title_quality_reason,description_confidence,description_confidence_reason,reflective_confidence,reflective_confidence_reason,original_issues,context_used,ai_error
12658,https://github.com/tianocore/edk2/issues/12658,package:cryptopkg | priority:low | type:bug | state:needs-maintainer-feedback | state:needs-triage,[Bug]: Update CryptoPkg OpenSSL submodule to OpenSSL 3.5.5 for CVE-2025-69419,CryptoPkg: Update OpenSSL submodule for CVE-2025-69419,85,Meets most criteria but lacks specific condition or symptom details.,75,Provides clear information about the package and security update needed.,80,Improves clarity by focusing on the security update without vague terms.,"Vague wording, missing specific symptom or condition","Package name (CryptoPkg), CVE-2025-69419",
12651,https://github.com/tianocore/edk2/issues/12651,priority:medium | package:cryptopkg | type:bug | state:needs-maintainer-feedback | state:needs-triage,"[Bug]: Booting netboot.xyz over HTTPS fails with ""EE certificate key too weak""",CryptoPkg: Boot failure over HTTPS due to weak certificate key,90,"Meets all criteria, naming package, symptom, and condition clearly.",85,Provided exact error message and module name for precise optimization.,92,Significantly improves clarity and specificity over the original vague title.,Vague symptom description | Lack of package/module identification,Error message 'EE certificate key too weak' | CryptoPkg impacted,
12646,https://github.com/tianocore/edk2/issues/12646,priority:medium | package:armpkg | type:bug | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: ArmStandaloneMmCoreEntryPoint DelegatedEventLoop infinite loop on error path,ArmPkg/DelegatedEventLoop: Infinite loop on FFA_ERROR return,90,"Names package, states symptom and condition clearly within length limit.",85,"Description provided module name, error details, and reproducible scenario.",92,Optimized title is more specific and easier to understand than the original.,Vague symptom description | Lack of concrete condition,Module name: ArmStandaloneMmCoreEntryPoint | Error path leading to infinite loop,
12644,https://github.com/tianocore/edk2/issues/12644,package:mdemodulepkg | priority:low | type:bug | state:needs-maintainer-feedback | state:needs-triage,[Bug]: Discover Nvme Namespaces function is called multiple times in NvmExpressDriverBindingStart,MdeModulePkg/NvmExpressDxe: Discover Namespaces called multiple times on start,85,Meets most criteria but lacks specific condition for triggering symptom.,70,"Provides module name and symptom, but missing repro steps or exact error.",90,Clearly better than original by specifying package/module and concrete symptom.,Vague wording | Lacks specific symptom,Package name MdeModulePkg | Function NvmExpressDriverBindingStart,
12617,https://github.com/tianocore/edk2/issues/12617,package:mdemodulepkg | priority:high | type:bug | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: FWTS Authenticated variable test fails,MdeModulePkg: Authenticated variable tests fail on FWTS V26.01.00,85,Meets most criteria but lacks specific condition details.,75,"Provides module name and symptom, missing exact error codes.",80,Improved specificity over original vague title.,Vague wording | Lacks specific package/module,Package: MdeModulePkg | Symptom: Authenticated variable tests fail,
12588,https://github.com/tianocore/edk2/issues/12588,priority:medium | type:bug | package:other | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: HDMI ports need changed during boot process,MdeModulePkg: HDMI port switch during boot on Fedora 44,85,Meets most criteria but lacks specific module name and exact symptom,60,Provides some useful context but lacks precise error details,75,"Improves specificity over original, though condition is inferred",Vague symptom description | Lacks specific package/module,Fedora 44 boot issue | HDMI port switching behavior,
12587,https://github.com/tianocore/edk2/issues/12587,priority:medium | package:securitypkg | type:bug | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: TPM table offset to LAML and LASL are incorrect,SecurityPkg/Tcg2: Incorrect LAML/LASL offsets in TPM2 ACPI table,90,"Meets all criteria, specifies package/module and concrete symptom with condition.",85,"Provides module name, symptom details, and relevant code references.",92,Clearly better than original; more specific about affected package/module and exact issue.,Vague wording | Missing condition,Package name (SecurityPkg) | Symptom details (incorrect offsets) | Relevant code references,
12566,https://github.com/tianocore/edk2/issues/12566,package:mdemodulepkg | priority:medium | type:bug | state:needs-triage,[Bug]: Allocator: Some Logic Checks the Special Field Some Uses a List of Memory Types,MdeModulePkg: Inconsistent special memory type handling,85,"Names package, states symptom of inconsistency but lacks specific condition or trigger",60,Provides module name and some context about the issue but no exact error or repro steps,75,"Improves clarity over original by specifying package and symptom, though lacks specific condition",Vague wording | Lacks concrete symptom,Package name MdeModulePkg | Inconsistent handling of special memory types,
12547,https://github.com/tianocore/edk2/issues/12547,priority:high | type:bug | package:other,[Bug]: __stack_chk_guard definition is wrong,MdePkg: __stack_chk_guard type mismatch in GCC trunk,85,Meets most criteria but lacks specific condition due to unknown trigger timing.,70,"Provides module name and symptom, missing exact repro steps or error codes.",82,Significantly improves clarity and specificity over the original vague title.,Vague wording | Lacks specific symptom,Package name MdePkg | Incorrect type definition for __stack_chk_guard,
12517,https://github.com/tianocore/edk2/issues/12517,package:mdepkg | priority:low | type:bug | state:needs-triage,[Bug]: Base.h IA32 GCC _AlignOf,MdePkg: Static assert failure for UINT64 alignment on IA32 GCC,95,"Meets all criteria, specifies package, symptom, and condition.",87,Provides specific details about the issue and repro steps.,92,Clearly better than original; more precise and actionable.,"Vague wording, missing symptom and condition",Package: MdePkg | Symptom: Static assert failure | Condition: IA32 GCC compilation,
12498,https://github.com/tianocore/edk2/issues/12498,priority:medium | type:bug | package:other | state:needs-maintainer-feedback | state:needs-triage,"[Bug]: For the ManageabilityPkg, move the internal use C header file to under PrivateInclude.",ManageabilityPkg: Move internal C header files to PrivateInclude,85,Meets most criteria but lacks a specific symptom or condition.,70,"Provides module name and clear action needed, but no error details.",65,Improves clarity on the action required but lacks specific symptom.,"Vague wording, missing concrete symptom or condition",Package name and need to move header files,
12463,https://github.com/tianocore/edk2/issues/12463,priority:medium | type:bug | package:standalonemmpkg | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,"[Bug]: ProcessCommunicationBuffer() in MmCommunicationDxe is not reentrant-safe, leading to ReturnBufferSize corruption and page fault.",StandaloneMmPkg/MmCommunicationDxe: ReturnBufferSize corruption on reentrancy,90,"Names package and module, states symptom of buffer corruption, mentions condition of reentrancy.",85,Description provided detailed information about the issue including module name and specific behavior during reentrancy.,92,"The optimized title is clearer, more concise, and directly actionable for maintainers compared to the original vague description.",Vague wording | Lack of concrete symptom,Module name: MmCommunicationDxe | Symptom: ReturnBufferSize corruption,
12437,https://github.com/tianocore/edk2/issues/12437,package:basetools | priority:low | type:bug,[Bug]: Noise in build process if toolchain is GCC or CLANGDWARF,BaseTools: Build noise with GCC or CLANGDWARF toolchain,85,"Names package, states symptom and condition but lacks specific error message.",70,Provides module name and repro steps but lacks exact error codes or stack traces.,90,"Improved by specifying package, symptom, and condition clearly.","Vague wording, missing specific symptom","BaseTools package name, build noise with GCC/CLANGDWARF",
12419,https://github.com/tianocore/edk2/issues/12419,package:mdemodulepkg | priority:low | type:bug | state:needs-triage,[Bug]: Build fails without a reason,MdeModulePkg: Build fails without error message,85,Meets most criteria but lacks specific condition or exact symptom,60,"Provides module name and general symptom, but no exact error code",75,"Improves specificity over original vague title, though still somewhat generic",Vague wording | Lacks specific symptom,Package name MdeModulePkg | Build fails without error message,
12399,https://github.com/tianocore/edk2/issues/12399,package:mdemodulepkg | priority:low | type:bug,[Bug]: NvmeDxe:: Incomplete cleanup on failure case resulting in memory leak and protocol tracking,MdeModulePkg/NvmeDxe: Memory leak and protocol not closed on PciIo->Attributes failure,90,"Meets all criteria, naming the package/module, stating symptom (memory leak), condition (failure of Attributes call)",85,"Provides module name and detailed steps to reproduce, confirming memory leak and protocol issues",90,"Clearly better than original, more specific about symptom and condition, easier to triage",Vague wording | Missing concrete symptom,Package name MdeModulePkg | Specific module NvmeDxe | Symptom of memory leak and protocol not closed,
12397,https://github.com/tianocore/edk2/issues/12397,package:mdemodulepkg | priority:high | type:bug,[Bug]: NvmeDxe:: NvmExpressMediaClear: Incorrect buffersize for write command,MdeModulePkg/NvmeDxe: Incorrect BufferSize in NvmExpressMediaClear,85,Meets most criteria but lacks specific condition details.,70,"Provides module name and symptom, missing exact error code.",82,Improves clarity over original by specifying the issue in NvmExpressMediaClear.,Vague wording | Lacks specific condition,Package name MdeModulePkg | Specific symptom description,
12396,https://github.com/tianocore/edk2/issues/12396,package:mdemodulepkg | priority:medium | type:bug,[Bug]: NvmeDxe::NvmExpressMediaClear: off-by-one skips last LBA,MdeModulePkg/NvmeDxe: Last LBA not cleared in NvmExpressMediaClear,90,"Meets all criteria, naming package/module and concrete symptom with condition.",85,"Description provided module name, exact behavior, and repro steps.",92,Optimized title is more specific and actionable than the original vague description.,Vague symptom description | Lack of package/module specification,Package name MdeModulePkg | Concrete behavior of Last LBA not being cleared,
12394,https://github.com/tianocore/edk2/issues/12394,priority:medium | type:bug | package:redfishpkg | state:needs-maintainer-feedback | state:needs-triage,[Bug]: Remove [DEPEX] section from RedfishConfigHandler driver,RedfishPkg: Remove [DEPEX] section for UEFI driver,85,Meets most criteria but lacks specific condition details.,60,"Provides module name and symptom, but no exact error or repro steps.",75,Improves clarity on the issue without adding unnecessary detail.,Vague wording | Lacks specific condition,Package name RedfishPkg | Symptom of removing [DEPEX] section,
12390,https://github.com/tianocore/edk2/issues/12390,priority:medium | package:networkpkg | type:bug | state:needs-maintainer-feedback,[Bug]:PXE crash in NetworkPkg when link disconnects during NBP download (NULL/invalid Private access),NetworkPkg: NULL pointer dereference when PXE link disconnects during NBP download,95,"Meets all criteria, specifies package, symptom, and condition clearly.",87,"Provides exact error details and module name, aiding precise title generation.",92,Significantly improves clarity and specificity over the original vague title.,Vague wording | Lacks specific symptom,Package: NetworkPkg | Symptom: NULL pointer dereference | Condition: PXE link disconnect during NBP download,
12363,https://github.com/tianocore/edk2/issues/12363,package:armvirtpkg | priority:low | type:bug,[Bug]: OVMF crashes when exiting from aarch64 GRUB,OvmfPkg: Crashes exiting GRUB on aarch64,85,Meets most criteria but lacks specific condition details.,70,"Provides module name and symptom, missing exact error code.",90,Clear improvement over original by specifying package and concrete issue.,Vague wording | Lacks specific symptom,Crashes when exiting GRUB on aarch64,
12359,https://github.com/tianocore/edk2/issues/12359,priority:low | package:ueficpupkg | type:bug,[Bug]: <title>/PageTbl.c(340): PageDirectoryEntry != ((void *) 0),UefiCpuPkg/PageTbl.c: ASSERT PageDirectoryEntry != NULL on QEMU64,90,"Meets all criteria, specifies package/module, symptom, and condition.",85,"Provides module name, error message, and reproducible scenario.",92,"Clearly better than original; specific about package, symptom, and trigger condition.",Vague wording | Missing concrete symptom,ASSERT error in PageTbl.c | QEMU64 CPU model,
12348,https://github.com/tianocore/edk2/issues/12348,package:basetools | priority:high | type:bug | state:needs-maintainer-feedback | state:needs-owner,[Bug]: BaseTools build fails due to racy cpp file generation,BaseTools/VfrCompile: build fails due to parallel make race,90,"Meets all criteria, specifies package/module and concrete symptom with condition.",85,"Provides module name, error details, and explanation of root cause.",92,Clearly better than original by specifying exact package/module and concrete symptom with condition.,Vague wording | Missing specific symptom,Package name: BaseTools | Module name: VfrCompile | Concrete symptom: build fails | Condition: parallel make race,
12333,https://github.com/tianocore/edk2/issues/12333,package:ovmfpkg | priority:low | type:bug,[Bug]: Remove -I from OvmfPkg reset vectors,OvmfPkg: Incorrect -I flag usage in reset vector modules,85,"Names package, states symptom and condition but lacks specific trigger or environment details.",70,Provides module name and code links but missing exact error message or repro steps.,85,"Improved clarity on the issue without losing original context, making it easier to triage.",Vague wording | Lacks specific symptom,Package name OvmfPkg | Incorrect usage of -I flag in reset vector modules,
12320,https://github.com/tianocore/edk2/issues/12320,priority:low | type:bug | package:build-or-ci-code | state:needs-maintainer-feedback | state:needs-triage,[Bug]: Issue triage workflow does not auto-assign for feature and documentation requests due to inconsistent field IDs,BuildOrCiCode: Auto-assignment fails for feature/doc requests due to inconsistent field IDs,85,"Meets most criteria but lacks specific module name, condition is implied by description.",70,Description provided useful context on the issue and its impact.,82,Improved clarity and specificity over original vague title.,"Vague wording, missing concrete symptom, inconsistent field IDs not clearly stated",Build or CI Code impacted | Inconsistent field IDs in issue templates,
12293,https://github.com/tianocore/edk2/issues/12293,package:basetools | priority:medium | type:bug | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: GenFw Missing option on VS2026,"BaseTools: GenFw build error missing -e, -c or -t option",85,Meets most criteria but lacks specific condition like toolchain version,70,Provides module name and symptom but missing exact error code,82,Significantly improves clarity over original vague title,"Vague wording, lack of specific symptom",Error message from build process,
12281,https://github.com/tianocore/edk2/issues/12281,package:mdemodulepkg | priority:medium | type:bug,[Bug]: TerminalDxe ignores shift state when calling notification functions,MdeModulePkg/TerminalDxe: Incorrect notification triggering for shift states,85,"Names package and module, describes symptom but lacks specific condition",70,Provides useful details about the issue but no exact repro steps or error codes,82,"Improved clarity and specificity over original, though some nuance was lost",Vague wording | Lacks specific symptom,Package name MdeModulePkg | Specific module TerminalDxe | Incorrect notification triggering,
12276,https://github.com/tianocore/edk2/issues/12276,package:shellpkg | package:basetools | package:mdemodulepkg | priority:low | type:bug | package:redfishpkg | state:needs-maintainer-feedback,[Bug]:  [Depex]  sections exist in the INF files of UEFI_DRIVER or UEFI_APPLICATION,BaseTools: No error when UEFI_DRIVER has invalid [Depex] section,90,"Meets all criteria, naming BaseTools and specifying symptom of no error for invalid Depex in UEFI_DRIVER.",75,Provides specific examples of incorrect [Depex] sections but lacks detailed repro steps or exact errors.,90,"Clearly better, specifies the issue with BaseTools and invalid Depex in UEFI_DRIVER, making it actionable for maintainers.",Vague wording | Missing symptom,BaseTools does not generate any error messages | [Depex] section in INF files of UEFI_DRIVER,
12275,https://github.com/tianocore/edk2/issues/12275,package:mdemodulepkg | priority:medium | type:bug | state:needs-maintainer-feedback,[Bug]:  EFIDebug runtime log level change fails to take effect,MdeModulePkg: EFIDebug runtime log level change ineffective,85,"Names package, states symptom but lacks specific condition details.",70,Provides module name and symptom but no exact repro steps or error codes.,82,"More specific than original, clearly states the issue without vague terms.","Vague wording, missing concrete symptom","Package name MdeModulePkg, symptom of ineffective runtime log level change",
12245,https://github.com/tianocore/edk2/issues/12245,package:securitypkg | priority:low | type:bug | state:needs-maintainer-feedback | state:needs-triage,"[Bug]: PE/COFF image hashes (SHA‑384/SHA‑512)  can’t be queried in the DB, but work in the DBX",SecurityPkg: SHA-384/SHA-512 hashes not found in DB during delete,90,"Meets all criteria, specifies package, symptom, and condition.",70,Provided module name and specific issue but lacked exact repro steps.,85,Improved clarity and specificity over the original vague title.,"Vague wording, missing concrete symptom",Package impacted: SecurityPkg | Specific issue with SHA-384/SHA-512 hashes,
12206,https://github.com/tianocore/edk2/issues/12206,priority:medium | package:ovmfpkg | type:bug | package:other,[Bug]: OVMF crashes early with RISCVVIRT_PEI_BOOTING,OvmfPkg: ASSERT HobStart != NULL during SecStartup on RISCVVIRT_PEI_BOOTING,95,"Meets all criteria, specifies package, symptom, and condition.",87,"Provides exact error message, module name, and repro steps.",92,"Clearly better than the original, more specific and actionable.",Vague wording | Missing symptom details,ASSERT [SecCoreNative] Hob.c(229): HobStart != ((void *) 0) | build -D RISCVVIRT_PEI_BOOTING,
12183,https://github.com/tianocore/edk2/issues/12183,package:ovmfpkg | priority:low | type:bug | state:needs-maintainer-feedback | state:needs-triage,[Bug]: Broken source-level debugging of OVMF caused by improper SEC-phase PCD access (BasePcdLibNull referenced),OvmfPkg: ASSERT fail in PcdLib.c during SEC phase on QEMU,90,"Meets all criteria, specifies package, symptom, and condition.",85,"Provides module name, error location, and repro steps.",92,Clearly better than original; more specific and actionable.,Vague wording | Missing symptom details,ASSERT fail in PcdLib.c | SEC phase | QEMU,
12179,https://github.com/tianocore/edk2/issues/12179,package:basetools | priority:low | type:bug,[Bug]: FMMT config file argument does not work,BaseTools/FMMT: Ignores -c config file option,90,"Names package, states symptom clearly, no specific condition known.",75,Provides module name and clear symptom but lacks detailed repro steps.,85,Improved clarity of the issue without losing nuance from original description.,"Vague wording, missing concrete symptom","Package name BaseTools, clear symptom that FMMT ignores -c option",
12178,https://github.com/tianocore/edk2/issues/12178,package:basetools | priority:low | type:bug,[Bug]: FMMT always exits with status 0 (success),BaseTools/FMMT: Exit status 0 on exception,85,"Names package, states symptom, but lacks specific condition",75,"Provides module name and clear symptom, missing exact trigger",90,"More specific than original, clearly identifies issue in BaseTools/FMMT",Vague wording | Lacks concrete symptom,Module name (FMMT) | Symptom (exit status 0 on exception),
12176,https://github.com/tianocore/edk2/issues/12176,package:basetools | priority:low | type:bug,[Bug]: Cannot run posix wrappers without setup,BaseTools/GenSec: Fails without edksetup.sh setup,85,"Names package and module, states symptom but lacks specific condition details.",70,Provides module name and repro steps but missing exact error message or condition.,82,"Improved by naming the package/module and specifying symptom, though original was somewhat clear.",Vague wording | Lacks specific symptom,Package name BaseTools | Module GenSec | Repro steps,
12172,https://github.com/tianocore/edk2/issues/12172,package:mdemodulepkg | priority:medium | type:bug | state:needs-maintainer-feedback | state:needs-triage,[Bug]: Error Dumping ESRT Table using CapsuleApp.efi -E,MdeModulePkg/CapsuleApp: ESRT table not dumped before ReadyToBoot,85,Meets most criteria but lacks exact condition for symptom occurrence,70,"Provides module name and symptom, missing repro steps",82,Improves clarity and specificity over the original vague title,Vague wording | Lacks specific symptom,Package: MdeModulePkg | Symptom: ESRT table not dumped,
12141,https://github.com/tianocore/edk2/issues/12141,package:ovmfpkg | priority:low | type:bug | state:needs-maintainer-feedback,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,OvmfPkg: Backspace key does not work in UEFI shell with -nographic,90,"Meets all criteria, specifies package, symptom, and condition.",85,"Provides clear module name, symptom, and detailed reproduction steps.",92,Significantly improves clarity and specificity over the original title.,Vague wording | Lack of specific condition,Package: OvmfPkg | Symptom: Backspace key does not work | Condition: -nographic mode,
12136,https://github.com/tianocore/edk2/issues/12136,package:basetools | package:emulatorpkg | priority:low | type:bug,[Bug]: Incremental build issue of Structure PCD,BaseTools: Incremental build fails for Structure PCD overrides,85,Meets most criteria but lacks specific module name and exact symptom condition.,70,Provides useful details about the issue but lacks precise error codes or stack traces.,85,Significantly improves clarity and specificity over the original vague title.,"Vague wording, missing specific symptom and condition","Package names (BaseTools), issue type (incremental build failure)",
12120,https://github.com/tianocore/edk2/issues/12120,package:ovmfpkg | priority:low | type:bug | state:needs-maintainer-feedback,[Bug]: Ramfb default resolutions available are very low,OvmfPkg/QemuRamfbDxe: Low default resolutions for Ramfb display,85,Meets most criteria but lacks specific condition details.,70,"Provides module name and symptom, missing exact repro steps.",90,Clearly better than original by specifying package/module and concrete issue.,Vague wording | Lacks specific condition,Package: OvmfPkg/QemuRamfbDxe | Symptom: Low default resolutions,
12095,https://github.com/tianocore/edk2/issues/12095,priority:medium | package:ovmfpkg | type:bug | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: The PXE boot option is missing on RISCV64,OvmfPkg: PXE boot option missing on RISCV64 QEMU,90,"Meets all criteria, specifies package, symptom, and condition.",75,Provides specific details about the environment and observed behavior.,85,Significantly improves clarity and specificity over original title.,Vague symptom description | Missing condition,Libvirt configuration | QEMU detection of network device,
12081,https://github.com/tianocore/edk2/issues/12081,package:armplatformpkg | priority:low | type:bug,[Bug]: SCT Failure in SerialIo on Arm platforms with PL011UartLib,ArmPlatformPkg/PL011UartLib: SCT test failure in SerialIoBBTestConformance,85,Meets most criteria but lacks specific condition details.,75,"Provides module name and symptom, missing exact error code.",80,Improved specificity without losing original context.,"Vague wording, lack of specific symptom","Module name PL011UartLib, SCT test failure in SerialIoBBTestConformance",
12077,https://github.com/tianocore/edk2/issues/12077,priority:low | type:bug | package:other | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),BaseTools/Uncrustify: Incorrect DEBUG macro formatting,85,Meets most criteria but lacks specific condition due to generic nature of issue.,70,"Provides clear symptom and relevant documentation, though no specific trigger is mentioned.",85,Improves clarity by focusing on the concrete formatting issue without vague terms.,"Vague wording, lack of specificity in symptom",Relevant documentation and current behavior description,
12073,https://github.com/tianocore/edk2/issues/12073,package:mdemodulepkg | priority:medium | type:bug | state:needs-maintainer-feedback | state:needs-triage,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,MdeModulePkg/UsbMassStorageDxe: Read failure without retry on transient USB errors,85,Meets most criteria but lacks specific condition details.,70,"Provides module name and symptom, missing exact repro steps.",82,Improves clarity and specificity over the original vague title.,Vague wording | Lacks specific symptom,Module name MdeModulePkg/UsbMassStorageDxe | Symptom of read failure without retry,
12067,https://github.com/tianocore/edk2/issues/12067,package:mdemodulepkg | priority:medium | package:emulatorpkg | type:bug,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),MdeModulePkg/HiiDatabaseDxe: ASSERT on GetNameElement() invalid parameter,90,"Meets all criteria, specifies package/module, symptom, and condition.",85,"Description provided module name, exact error code, and repro steps.",92,Optimized title is more specific and actionable than the original.,Vague symptom description | Missing condition,Module name: HiiDatabaseDxe | Error code: EFI_INVALID_PARAMETER,
12065,https://github.com/tianocore/edk2/issues/12065,package:mdemodulepkg | priority:low | type:bug | state:needs-triage,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,MdeModulePkg/SetupBrowserDxe: Logic conflict in ifrParse.c,85,"Names package and module, states symptom but lacks specific condition.",70,Provides module name and code snippet but no exact error or repro steps.,82,"Improved clarity by naming package/module and specifying symptom, though original was somewhat clear.",Vague wording | Lacks specific condition,Package name MdeModulePkg | Module SetupBrowserDxe | Code conflict in ifrParse.c,
12043,https://github.com/tianocore/edk2/issues/12043,package:shellpkg | priority:low | type:bug,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,ShellPkg: Build error with GCC 16 -Wunused-but-set-variable,90,"Meets all criteria, naming package and specific symptom with condition.",85,Provided exact error message and build environment details.,92,Clearly better than original by specifying concrete issue and conditions.,"Vague wording, missing specific symptom",Error message from build log | Build environment details,
11991,https://github.com/tianocore/edk2/issues/11991,priority:medium | package:ovmfpkg | type:bug | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: Failed to start Intel Trust Domain on the new OVMF version,OvmfPkg: Intel Trust Domain fails to start in DEBUG build,85,Meets most criteria but lacks specific condition details like OVMF version or environment,70,"Provides module name and symptom, but missing exact error code or repro steps",85,Significantly improves clarity and specificity over the original vague title,Vague wording | Lacks specific symptoms,Package name OvmfPkg | Symptom of Intel Trust Domain failing,
